Ticket,Product,tag_int
51337,IS CMat16 16x12,51337.0
51338,IS CMat16 14x12,51338.0
51339,IS CMat16 12x12,51339.0
51340,IS CMat16 10x12,51340.0
51341,IS CMat16 8x12,51341.0
51342,IS CMat16 6x12,51342.0
51343,IS CMat16 8x10,51343.0
51344,IS CMat16 8x8,51344.0
51367,IS CMat20 18x12,51367.0
51368,IS CMat20 16x12,51368.0
51369,IS CMat20 14x12,51369.0
51370,IS CMat20 12x12,51370.0
51371,IS CMat20 10x12,51371.0
51372,IS CMat18 12x12,51372.0
51373,IS CMat18 10x12,51373.0
51374,IS CMat18 8x12,51374.0
51375,IS CMat18 6x12,51375.0
51376,IS CMat18 8x10,51376.0
51377,IS CMat16 12x12,51377.0
51378,IS CMat16 10x12,51378.0
98045,Ties9 7x9,98045.0
98048,Ties9 7x9,98048.0
98049,Ties9 7x9,98049.0
